"","title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short","scale.rating","cluster.labels"
"425","Deep End of the Ocean, The",1999,106,40000000,5.9,2890,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0,-0.0240271765988843,1
"426","Deep End, The",2001,101,3000000,6.8,3524,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0,0.672034144053138,1
"427","Deep Impact",1998,120,75000000,5.9,22684,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0,-0.0240271765988843,1
"428","Deep Rising",1998,97,45000000,5.4,4626,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,-0.410727910294453,2
"429","Defender, The",2004,90,6000000,6.3,58,14.5,4.5,4.5,4.5,0,14.5,4.5,14.5,14.5,34.5,"R",1,0,0,0,0,0,0,0.28533341035757,1
"430","Delivered",1998,93,1000000,5.1,73,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0,-0.642748350511794,2
"431","Dellamorte Dellamore",1994,105,4000000,7.3,2313,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,1,0,0,1,0,1.05873487774871,1
"432","Demolitionist, The",1995,100,1000000,4.1,238,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0,-1.41614981790293,2
"433","Dentist II, The",1998,100,1800000,4.1,401,14.5,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0,-1.41614981790293,2
"434","Derailed",2002,89,18000000,3.4,1075,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,0,0,0,0,-1.95753084507673,2
"435","Desperado",1995,106,7000000,6.8,17929,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,0,0,0,0,0.672034144053138,1
"436","Detention",2003,98,10000000,4.1,223,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,1,0,0,0,-1.41614981790293,2
"437","Detroit Rock City",1999,95,15000000,6,4607,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0,0.0533129701402291,1
"438","Deuce Bigalow: Male Gigolo",1999,88,18000000,5.6,9897,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0,-0.256047616816226,2
"439","Deuces Wild",2002,100,10000000,5.3,1511,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,1,0,0,0,-0.488068057033567,2
"440","Devil's Advocate, The",1997,144,57000000,7,26904,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0,0.826714437531366,1
"441","Devil's Own, The",1997,111,80000000,5.7,8485,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0,-0.178707470077112,1
"442","Devil's Pond",2003,92,5000000,5.6,370,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0,-0.256047616816226,2
"443","Diary of a Mad Black Woman",2005,116,5500000,3.9,837,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"PG-13",0,0,1,1,0,0,0,-1.57083011138116,2
"444","Dick",1999,94,13000000,6.3,5004,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,0.28533341035757,1
"445","Dickie Roberts: Former Child Star",2003,98,17000000,5.5,2076,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-0.333387763555339,2
"446","Die Another Day",2002,133,142000000,6.4,22136,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,0.362673557096684,1
"447","Die Hard: With a Vengeance",1995,131,90000000,7,25258,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,0,0,0,0,0.826714437531366,1
"448","Different Loyalty, A",2004,96,13000000,5,135,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,1,0,-0.720088497250908,2
"449","Digimon: The Movie",2000,82,5000000,3.4,455,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"PG",1,1,0,0,0,0,0,-1.95753084507673,2
"450","Dill Scallion",1999,91,500000,5.1,136,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,24.5,"PG-13",0,0,1,0,0,0,0,-0.642748350511794,2
"451","Dinosaur",2000,82,127500000,6.3,5839,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG",0,1,0,0,0,0,0,0.28533341035757,1
"452","Diplomatic Siege",1999,96,45000000,3.5,340,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,-1.88019069833761,2
"453","Dirty Pretty Things",2002,97,10000000,7.6,6274,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0,1.29075531796605,1
"454","Dirty Work",1998,82,13000000,5.9,4252,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0,-0.0240271765988843,1
"455","Disturbing Behavior",1998,84,15000000,5.1,4620,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0,-0.642748350511794,2
"456","Divine Secrets of the Ya-Ya Sisterhood",2002,116,27000000,5.5,4288,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0,-0.333387763555339,2
"457","Doctor Dolittle",1998,85,71500000,5.4,8287,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-0.410727910294453,2
"458","Doctor Sleep",2002,108,10000000,6.2,609,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0,0.207993263618457,1
"459","Doctor Zhivago",1965,200,11000000,7.9,10283,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"PG-13",0,0,0,1,0,1,0,1.52277575818339,1
"460","Dodgeball: A True Underdog Story",2004,92,20000000,6.6,14584,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0,0.517353850574911,1
"461","Dog of Flanders, A",1999,100,7000000,6,179,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,14.5,"PG",0,0,0,1,0,0,0,0.0533129701402291,1
"462","Dogma",1999,130,10000000,7.3,43391,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,1,0,0,0,0,1.05873487774871,1
"463","Dom durakov",2002,104,2500000,6.8,382,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,0,0,0.672034144053138,1
"464","Domestic Disturbance",2001,91,53000000,5.4,4445,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0,-0.410727910294453,2
"465","Dominion",1995,95,1300000,5,85,4.5,4.5,4.5,14.5,14.5,34.5,4.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0,-0.720088497250908,2
"466","Don't Say a Word",2001,113,50000000,6.2,10098,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0,0.207993263618457,1
"467","Donnie Brasco",1997,127,35000000,7.6,20029,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0,1.29075531796605,1
"468","Donnie Darko",2001,133,4500000,8.3,51961,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,0,1,0,0,0,1.83213634513984,1
"469","Double Jeopardy",1999,105,40000000,5.9,13587,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0,-0.0240271765988843,1
"470","Double Take",2001,91,24000000,4.8,1503,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,-0.874768790729135,2
"471","Double Tap",1997,87,8000000,5.3,184,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,-0.488068057033567,2
"472","Double Whammy",2001,100,4000000,5.6,886,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0,-0.256047616816226,2
"473","Down Time",2001,90,20000,3.5,55,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"R",0,0,0,1,0,0,0,-1.88019069833761,2
"474","Down and Out with the Dolls",2001,88,1200000,6,37,4.5,4.5,14.5,14.5,4.5,4.5,14.5,24.5,4.5,24.5,"R",0,0,1,0,0,0,0,0.0533129701402291,1
"475","Down to Earth",2001,87,30000000,5.1,3720,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0,-0.642748350511794,2
"476","Down to You",2000,91,9000000,4.7,3232,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0,-0.952108937468249,2
"477","Dr T and the Women",2000,122,12000000,4.8,4776,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,1,0,-0.874768790729135,2
"478","Dr. Dolittle 2",2001,87,72000000,5.1,4920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0,-0.642748350511794,2
"479","Dr. Jekyll and Ms. Hyde",1995,90,8000000,4.2,573,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-1.33880967116382,2
"480","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,1800000,8.7,63471,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"PG",0,0,1,0,0,0,0,2.1414969320963,1
"481","Dracula",1992,128,40000000,7.1,19972,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0,0.904054584270479,1
"482","Dracula 2000",2000,99,28000000,4.9,5364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0,-0.797428643990021,2
"483","Dragonfly",2002,104,60000000,5.8,5431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0,-0.101367323337998,1
"484","Dreamcatcher",2003,134,68000000,5.2,10403,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0,-0.56540820377268,2
"485","Drive",1997,117,3500000,6.4,1086,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",1,0,1,0,0,0,0,0.362673557096684,1
"486","Drive Me Crazy",1999,91,8000000,5.1,2934,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0,-0.642748350511794,2
"487","Driven",2001,116,72000000,4.4,7129,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0,-1.18412937768559,2
"488","Drowning Mona",2000,95,16000000,5.4,3454,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-0.410727910294453,2
"489","Drumline",2002,118,20000000,5.3,7368,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0,-0.488068057033567,2
"490","Dude, Where's My Car?",2000,83,13000000,4.6,13330,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-1.02944908420736,2
"491","Dudley Do-Right",1999,77,22000000,3.6,1790,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0,-1.8028505515985,2
"492","Duets",2000,112,15000000,5.8,2414,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0,-0.101367323337998,1
"493","Dumb & Dumber",1994,101,16000000,6.6,27713,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"PG-13",0,0,1,0,0,0,0,0.517353850574911,1
"494","Dumb and Dumberer: When Harry Met Lloyd",2003,85,19000000,3.3,4689,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-2.03487099181584,2
"495","Dungeons & Dragons",2000,107,35000000,4,7435,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,-1.49348996464204,2
"496","Duplex",2003,89,40000000,5.7,4334,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-0.178707470077112,1
"497","Dusting Cliff 7",1996,95,1300000,3.5,80,14.5,14.5,24.5,4.5,14.5,4.5,4.5,4.5,0,4.5,"R",1,0,0,1,0,0,0,-1.88019069833761,2
"498","DysFunktional Family",2003,89,3000000,5.6,207,14.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,1,0,0,-0.256047616816226,2
"499","E.T. the Extra-Terrestrial",1982,120,10500000,7.8,44175,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",0,0,0,1,0,0,0,1.44543561144428,1
"500","Ed Wood",1994,127,18000000,8,22612,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0,1.6001159049225,1
"501","Eddie",1996,100,30000000,4.9,1348,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-0.797428643990021,2
"502","Edges of the Lord",2001,95,7500000,7,639,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0,0.826714437531366,1
"503","Edtv",1999,122,60000000,6.2,10085,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,0.207993263618457,1
"504","Eight Legged Freaks",2002,99,30000000,5.5,6362,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,-0.333387763555339,2
"505","Eighteenth Angel, The",1998,95,25000000,4.6,557,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,-1.02944908420736,2
"506","Election",1999,103,8500000,7.4,17521,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0,1.13607502448782,1
"507","Elektra",2005,96,43000000,4.9,5120,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0,-0.797428643990021,2
"508","Elephant",2003,81,3000000,7.3,9203,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0,1.05873487774871,1
"509","Elf",2003,95,33000000,7,10165,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,0,0,0,0,0.826714437531366,1
"510","Elizabeth",1998,124,25000000,7.6,14733,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0,1.29075531796605,1
"511","Ella Enchanted",2004,96,35000000,6.5,2502,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG",0,0,1,0,0,1,0,0.440013703835798,1
"512","Elvira's Haunted Hills",2001,90,1500000,5.2,307,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0,-0.56540820377268,2
"513","Embrace of the Vampire",1994,93,800000,4.2,1551,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0,-1.33880967116382,2
"514","Emma",1996,121,6000000,6.9,6431,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,0,0,1,0,0.749374290792253,1
"515","Emmett's Mark",2002,104,4500000,6.2,427,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0,0.207993263618457,1
"516","Emperor's Club, The",2002,109,12500000,6.7,3056,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0,0.594693997314025,1
"517","Empire",2002,90,3500000,6,1718,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0,0.0533129701402291,1
"518","End of Days",1999,121,83000000,5.3,18237,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,-0.488068057033567,2
"519","End of Violence, The",1997,122,5000000,5.4,1575,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0,-0.410727910294453,2
"520","End of the Affair, The",1999,102,23000000,7,4808,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0,0.826714437531366,1
"521","Enemy at the Gates",2001,131,70000000,7.3,19169,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,"R",1,0,0,1,0,1,0,1.05873487774871,1
"522","Enemy of the State",1998,131,90000000,7.1,23263,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,1,0,0,0,0.904054584270479,1
"523","English Patient, The",1996,160,27000000,7.1,25210,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,1,0,0.904054584270479,1
"524","Enough",2002,115,38000000,4.9,4339,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0,-0.797428643990021,2
"525","Enter the Dragon",1973,99,850000,7.4,8078,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,0,0,0,0,1.13607502448782,1
"526","Entrapment",1999,113,66000000,6.1,18543,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0,0.130653116879343,1
"527","Envy",2004,99,40000000,4.3,3417,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-1.2614695244247,2
"528","Equilibrium",2002,107,20000000,7.6,17579,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",1,0,0,0,0,0,0,1.29075531796605,1
"529","Era of Vampire, The",2002,90,1000000,4.2,329,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,-1.33880967116382,2
"530","Eraser",1996,115,100000000,5.8,14641,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0,-0.101367323337998,1
"531","Erin Brockovich",2000,130,51000000,7.3,24301,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0,1.05873487774871,1
"532","Escanaba in da Moonlight",2001,91,1000000,5.5,373,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"PG-13",0,0,1,0,0,0,0,-0.333387763555339,2
"533","Escape from L.A.",1996,101,50000000,4.8,7955,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,-0.874768790729135,2
"534","Espinazo del diablo, El",2001,108,4500000,7.4,3474,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0,1.13607502448782,1
"535","Eternal Sunshine of the Spotless Mind",2004,108,20000000,8.6,46240,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,1,1,0,1,0,2.06415678535718,1
"536","Eulogy",2004,91,10000000,6.5,773,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,1,1,0,0,0,0.440013703835798,1
"537","EuroTrip",2004,90,25000000,6.1,8390,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0,0.130653116879343,1
"538","Eve's Bayou",1997,109,5000000,7.2,2302,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0,0.981394731009594,1
"539","Evelyn",2002,94,10000000,7.1,1163,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,0,1,0,0,0,0.904054584270479,1
"540","EvenHand",2002,92,500000,7.3,169,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,"R",0,0,0,1,0,0,0,1.05873487774871,1
"541","Event Horizon",1997,96,70000000,5.7,15510,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0,-0.178707470077112,1
"542","Ever After",1998,121,26000000,7,10250,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG",0,0,1,1,0,1,0,0.826714437531366,1
"543","Everlasting Piece, An",2000,103,14000000,6.1,475,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0,0.130653116879343,1
"544","Everyone Says I Love You",1996,101,20000000,6.9,7314,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,1,0,0.749374290792253,1
"545","Everything Put Together",2000,87,500000,7.1,151,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0,0.904054584270479,1
"546","Evil Alien Conquerors",2002,89,500000,3.8,111,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0,-1.64817025812027,2
"547","Evil Dead, The",1981,86,350000,7.4,14407,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"NC-17",0,0,0,0,0,0,0,1.13607502448782,1
"548","Evita",1996,134,55000000,6.2,8371,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG",0,0,0,1,0,0,0,0.207993263618457,1
"549","Evolution",2001,101,80000000,5.8,14232,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,-0.101367323337998,1
"550","Exit Wounds",2001,101,33000000,5.3,5370,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,-0.488068057033567,2
"551","Exorcist: The Beginning",2004,114,30000000,5,4130,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,-0.720088497250908,2
"552","Extreme Measures",1996,118,38000000,5.9,3417,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0,-0.0240271765988843,1
"553","Extreme Ops",2002,94,40000000,4,1337,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,-1.49348996464204,2
"554","Eye for an Eye",1996,101,20000000,5.6,1843,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0,-0.256047616816226,2
"555","Eye of the Beholder",1999,109,15000000,4.5,5549,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0,-1.10678923094648,2
"556","Eyes Wide Shut",1999,159,65000000,7,37868,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0,0.826714437531366,1
"557","Facade",2000,93,6000000,4.8,93,24.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,-0.874768790729135,2
"558","Face/Off",1997,133,80000000,7.1,37506,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,1,0,0,0,0.904054584270479,1
"559","Faculty, The",1998,104,15000000,6.1,13143,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0,0.130653116879343,1
"560","Fahrenheit 9/11",2004,122,6000000,7.9,34666,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"R",0,0,0,0,1,0,0,1.52277575818339,1
"561","Fair Game",1995,91,50000000,3.9,2579,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,1,1,0,0,0,-1.57083011138116,2
"562","Faithful",1996,91,13000000,5.6,414,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0,-0.256047616816226,2
"563","Falls, The",2003,85,75000,5.7,29,14.5,4.5,4.5,0,0,14.5,4.5,14.5,24.5,24.5,"R",0,0,0,1,0,0,0,-0.178707470077112,1
"564","Family Man, The",2000,125,60000000,6.5,11220,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0,0.440013703835798,1
"565","Fan, The",1996,114,55000000,5.4,6920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0,-0.410727910294453,2
"566","Fantasma dell'opera, Il",1998,106,10000000,3.8,910,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,1,0,-1.64817025812027,2
"567","Far from Heaven",2002,107,13500000,7.7,9167,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,1,0,1.36809546470516,1
"568","Fargo",1996,98,7000000,8.2,65597,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0,1.75479619840073,1
"569","Fascination",2004,95,5000000,3.3,124,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,1,0,-2.03487099181584,2
