"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Dogma",1999,130,10000000,7.3,43391,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,1,0,0,0,0
"Dom durakov",2002,104,2500000,6.8,382,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Domestic Disturbance",2001,91,53000000,5.4,4445,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Dominion",1995,95,1300000,5,85,4.5,4.5,4.5,14.5,14.5,34.5,4.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Don't Say a Word",2001,113,50000000,6.2,10098,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Donnie Brasco",1997,127,35000000,7.6,20029,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Donnie Darko",2001,133,4500000,8.3,51961,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,0,1,0,0,0
"Double Jeopardy",1999,105,40000000,5.9,13587,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Double Take",2001,91,24000000,4.8,1503,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Double Tap",1997,87,8000000,5.3,184,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Double Whammy",2001,100,4000000,5.6,886,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Down Time",2001,90,20000,3.5,55,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"R",0,0,0,1,0,0,0
"Down and Out with the Dolls",2001,88,1200000,6,37,4.5,4.5,14.5,14.5,4.5,4.5,14.5,24.5,4.5,24.5,"R",0,0,1,0,0,0,0
"Down to Earth",2001,87,30000000,5.1,3720,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Down to You",2000,91,9000000,4.7,3232,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Dr T and the Women",2000,122,12000000,4.8,4776,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Dr. Dolittle 2",2001,87,72000000,5.1,4920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Dr. Jekyll and Ms. Hyde",1995,90,8000000,4.2,573,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,1800000,8.7,63471,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"PG",0,0,1,0,0,0,0
"Dracula",1992,128,40000000,7.1,19972,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Dracula 2000",2000,99,28000000,4.9,5364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Dragonfly",2002,104,60000000,5.8,5431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Dreamcatcher",2003,134,68000000,5.2,10403,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Drive",1997,117,3500000,6.4,1086,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",1,0,1,0,0,0,0
"Drive Me Crazy",1999,91,8000000,5.1,2934,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Driven",2001,116,72000000,4.4,7129,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Drowning Mona",2000,95,16000000,5.4,3454,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Drumline",2002,118,20000000,5.3,7368,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Dude, Where's My Car?",2000,83,13000000,4.6,13330,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Dudley Do-Right",1999,77,22000000,3.6,1790,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Duets",2000,112,15000000,5.8,2414,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Dumb & Dumber",1994,101,16000000,6.6,27713,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"PG-13",0,0,1,0,0,0,0
"Dumb and Dumberer: When Harry Met Lloyd",2003,85,19000000,3.3,4689,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Dungeons & Dragons",2000,107,35000000,4,7435,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Duplex",2003,89,40000000,5.7,4334,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Dusting Cliff 7",1996,95,1300000,3.5,80,14.5,14.5,24.5,4.5,14.5,4.5,4.5,4.5,0,4.5,"R",1,0,0,1,0,0,0
"DysFunktional Family",2003,89,3000000,5.6,207,14.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,1,0,0
"E.T. the Extra-Terrestrial",1982,120,10500000,7.8,44175,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",0,0,0,1,0,0,0
"Ed Wood",1994,127,18000000,8,22612,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Eddie",1996,100,30000000,4.9,1348,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Edges of the Lord",2001,95,7500000,7,639,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Edtv",1999,122,60000000,6.2,10085,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Eight Legged Freaks",2002,99,30000000,5.5,6362,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Eighteenth Angel, The",1998,95,25000000,4.6,557,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Election",1999,103,8500000,7.4,17521,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"Elektra",2005,96,43000000,4.9,5120,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0
"Elephant",2003,81,3000000,7.3,9203,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Elf",2003,95,33000000,7,10165,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,0,0,0,0
"Elizabeth",1998,124,25000000,7.6,14733,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Ella Enchanted",2004,96,35000000,6.5,2502,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG",0,0,1,0,0,1,0
"Elvira's Haunted Hills",2001,90,1500000,5.2,307,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Embrace of the Vampire",1994,93,800000,4.2,1551,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Emma",1996,121,6000000,6.9,6431,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,0,0,1,0
"Emmett's Mark",2002,104,4500000,6.2,427,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Emperor's Club, The",2002,109,12500000,6.7,3056,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Empire",2002,90,3500000,6,1718,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"End of Days",1999,121,83000000,5.3,18237,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"End of Violence, The",1997,122,5000000,5.4,1575,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"End of the Affair, The",1999,102,23000000,7,4808,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Enemy at the Gates",2001,131,70000000,7.3,19169,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,"R",1,0,0,1,0,1,0
"Enemy of the State",1998,131,90000000,7.1,23263,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,1,0,0,0
"English Patient, The",1996,160,27000000,7.1,25210,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,1,0
"Enough",2002,115,38000000,4.9,4339,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Enter the Dragon",1973,99,850000,7.4,8078,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,0,0,0,0
"Entrapment",1999,113,66000000,6.1,18543,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Envy",2004,99,40000000,4.3,3417,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Equilibrium",2002,107,20000000,7.6,17579,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",1,0,0,0,0,0,0
"Era of Vampire, The",2002,90,1000000,4.2,329,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Eraser",1996,115,100000000,5.8,14641,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Erin Brockovich",2000,130,51000000,7.3,24301,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Escanaba in da Moonlight",2001,91,1000000,5.5,373,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"PG-13",0,0,1,0,0,0,0
"Escape from L.A.",1996,101,50000000,4.8,7955,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Espinazo del diablo, El",2001,108,4500000,7.4,3474,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Eternal Sunshine of the Spotless Mind",2004,108,20000000,8.6,46240,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,1,1,0,1,0
"Eulogy",2004,91,10000000,6.5,773,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,1,1,0,0,0
"EuroTrip",2004,90,25000000,6.1,8390,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Eve's Bayou",1997,109,5000000,7.2,2302,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Evelyn",2002,94,10000000,7.1,1163,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,0,1,0,0,0
"EvenHand",2002,92,500000,7.3,169,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,"R",0,0,0,1,0,0,0
"Event Horizon",1997,96,70000000,5.7,15510,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Ever After",1998,121,26000000,7,10250,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG",0,0,1,1,0,1,0
"Everlasting Piece, An",2000,103,14000000,6.1,475,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Everyone Says I Love You",1996,101,20000000,6.9,7314,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,1,0
"Everything Put Together",2000,87,500000,7.1,151,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Evil Alien Conquerors",2002,89,500000,3.8,111,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Evil Dead, The",1981,86,350000,7.4,14407,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"NC-17",0,0,0,0,0,0,0
"Evita",1996,134,55000000,6.2,8371,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG",0,0,0,1,0,0,0
"Evolution",2001,101,80000000,5.8,14232,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Exit Wounds",2001,101,33000000,5.3,5370,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Exorcist: The Beginning",2004,114,30000000,5,4130,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Extreme Measures",1996,118,38000000,5.9,3417,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Extreme Ops",2002,94,40000000,4,1337,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Eye for an Eye",1996,101,20000000,5.6,1843,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Eye of the Beholder",1999,109,15000000,4.5,5549,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Eyes Wide Shut",1999,159,65000000,7,37868,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Facade",2000,93,6000000,4.8,93,24.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Face/Off",1997,133,80000000,7.1,37506,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Faculty, The",1998,104,15000000,6.1,13143,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fahrenheit 9/11",2004,122,6000000,7.9,34666,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"R",0,0,0,0,1,0,0
"Fair Game",1995,91,50000000,3.9,2579,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,1,1,0,0,0
"Faithful",1996,91,13000000,5.6,414,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Falls, The",2003,85,75000,5.7,29,14.5,4.5,4.5,0,0,14.5,4.5,14.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Family Man, The",2000,125,60000000,6.5,11220,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Fan, The",1996,114,55000000,5.4,6920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fantasma dell'opera, Il",1998,106,10000000,3.8,910,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Far from Heaven",2002,107,13500000,7.7,9167,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,1,0
"Fargo",1996,98,7000000,8.2,65597,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Fascination",2004,95,5000000,3.3,124,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,1,0
"Fast and the Furious, The",2001,106,38000000,5.7,21428,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0
"Father of the Bride Part II",1995,106,30000000,5.6,4089,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Fathers' Day",1997,98,85000000,4.7,2714,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Faust: Love of the Damned",2001,101,6000000,4.1,628,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fear X",2003,91,6600000,5.9,742,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,0,0,0,0
"FearDotCom",2002,101,42000000,3.2,5126,34.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Female Trouble",1974,97,25000,7.1,868,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"NC-17",0,0,1,0,0,0,0
"Femme Fatale",2002,114,35000000,6.4,6083,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Feng yun xiong ba tian xia",1998,85,10000000,6.3,922,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",1,0,0,0,0,0,0
"Festen",1998,105,1300000,8.2,11983,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"R",0,0,0,1,0,0,0
"Fever",1999,95,6000000,5.7,248,4.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Fever Pitch",2005,98,39690000,6.6,1712,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,1,0,0,1,0
"Fifth Element, The",1997,126,90000000,7.1,55398,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"Fight Club",1999,139,63000000,8.5,112092,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,0,1,0,0,0
"Final",2001,111,80000,5.2,330,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Final Destination",2000,98,23000000,6.6,16504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Final Destination 2",2003,90,26000000,6.3,8481,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Final Fantasy: The Spirits Within",2001,106,137000000,6.5,16451,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,1,0,0,0,0,0
"Final Solution",2001,110,1500000,7,32,0,4.5,0,0,4.5,4.5,34.5,14.5,14.5,24.5,"R",1,0,0,1,0,0,0
"Finding Forrester",2000,136,43000000,7.3,13439,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Finding Graceland",1998,106,10000000,6.6,504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"Fire Over Afghanistan",2003,92,155000,4.5,67,24.5,4.5,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Firestorm",1998,89,19000000,4.4,987,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Firm, The",1993,154,42000000,6.6,14708,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"First Knight",1995,134,75000000,5.6,8708,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"First Love, Last Rites",1997,94,300000,5,147,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,1,0
"Flawless",1999,112,27000000,6.1,3287,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Flight of the Phoenix",2004,113,45000000,6,2732,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Flintstones in Viva Rock Vegas, The",2000,90,58000000,3.7,1712,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Flossin",2001,81,86000,7.9,7,14.5,0,0,0,0,14.5,0,0,24.5,44.5,"PG-13",0,0,0,0,0,0,0
"Following",1998,69,6000,7.6,3197,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,0,0,0,0
"For Love of the Game",1999,137,50000000,6.1,5782,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"Foreign Correspondents",1999,102,500000,7.6,117,4.5,0,0,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"PG-13",0,0,0,1,0,1,0
"Foreigner, The",2003,96,20000000,3.1,904,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Forever Lulu",2000,99,20000000,5.5,257,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,1,0
"Forgotten, The",2004,94,42000000,5.8,8234,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Forrest Gump",1994,142,55000000,8.2,89722,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"PG-13",0,0,1,1,0,0,0
"Forsaken, The",2001,90,5000000,5.1,1928,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fortress 2",1999,92,11000000,4.2,1027,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Four Feathers, The",2002,125,80000000,6.2,4400,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Four Rooms",1995,98,4000000,6,10675,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,1,0,0,0
"Four Weddings and a Funeral",1994,117,6000000,7.2,17820,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,1,0,1,0
"Frailty",2001,100,11000000,7.4,10551,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Frankenfish",2004,84,3000000,4.6,309,14.5,14.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,1,0,0,0,0
"Frankenstein",1994,123,45000000,6,6941,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Freaky Friday",2003,97,26000000,6.9,8052,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,14.5,"PG",0,0,1,1,0,0,0
"Freddy Got Fingered",2001,87,15000000,3.5,9115,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Freddy Vs. Jason",2003,97,25000000,6.1,11109,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Freddy's Dead: The Final Nightmare",1991,93,5000000,4.3,3618,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Free Money",1998,91,30000000,4.7,619,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Freeway",1996,102,3000000,6.5,4961,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Freeway II: Confessions of a Trickbaby",1999,90,2000000,4.6,666,14.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Freeze Frame",2004,99,2000000,5.8,189,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Frequency",2000,118,31000000,7.4,15317,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Frida",2002,123,12000000,7.5,8614,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Friday",1995,91,3500000,6.7,7020,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,24.5,"R",0,0,1,1,0,0,0
"Friday After Next",2002,85,20000000,4.9,1659,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Friday Night Lights",2004,117,30000000,7,4290,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"From Dusk Till Dawn",1996,108,20000000,6.8,28473,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,1,0,0,0,0
"From Hell",2001,122,35000000,6.8,17292,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,0,0,0,0,0
